year,race,education,age,population,mortality
2000,Black,H.S.,55,97579,0.01664294029910493
2000,Black,H.S.,56,97953,0.017428142810435525
2000,Black,H.S.,57,74530,0.01735930247545828
2000,Black,H.S.,58,82971,0.016695814298579508
2000,Black,H.S.,59,78320,0.018646658396489445
2000,Black,H.S.,60,78188,0.01968324988999861
2000,Black,H.S.,61,73520,0.025289589593367065
2000,Black,H.S.,62,97501,0.024870940982548426
2000,Black,H.S.,63,59587,0.028747246013212
2000,Black,H.S.,64,66905,0.026444017281967377
2000,Black,H.S.,65,57426,0.029988048257140163
2000,Black,H.S.,66,57810,0.03219288555060957
2000,Black,H.S.,67,57285,0.034451951417324975
2000,Black,H.S.,68,46795,0.03877723349501974
2000,Black,H.S.,69,42882,0.03937680077716531
2000,Black,H.S.,70,57794,0.043232677878910664
2000,Black,H.S.,71,44392,0.04844909079798343
2000,Black,H.S.,72,42232,0.05272182057712426
2000,Black,H.S.,73,40455,0.05169786438563133
2000,Black,H.S.,74,35068,0.05564593348262056
2000,Black,H.S.,75,27682,0.06491027079438455
2000,Black,H.S.,76,29577,0.06713372472019573
2000,Black,H.S.,77,22890,0.07219860941295
2000,Black,H.S.,78,34923,0.09295262524747391
2000,Black,H.S.,79,11163,0.09432785383569578
2000,Black,H.S.,80,30552,0.10203535911147038
2000,Black,H.S.,81,15150,0.12189918045184044
2000,Black,H.S.,82,7453,0.13955904078073214
2000,Black,H.S.,83,7263,0.15159140522789183
2000,Black,H.S.,84,9942,0.18295107986719603
2000,Black,Some college,30,162449,0.0009707406814149552
2000,Black,Some college,31,127720,0.0011019552478772367
2000,Black,Some college,32,143379,0.001246357129296966
2000,Black,Some college,33,162166,0.0012172170454608487
2000,Black,Some college,34,135289,0.0013219482971835372
2000,Black,Some college,35,179888,0.0015208491437432895
2000,Black,Some college,36,177001,0.0015404092207375484
2000,Black,Some college,37,163670,0.0017310977133409096
2000,Black,Some college,38,141431,0.0020637753749238007
2000,Black,Some college,39,149147,0.002050886193338935
2000,Black,Some college,40,178304,0.0023715012301009073
2000,Black,Some college,41,129742,0.0025544847496402675
2000,Black,Some college,42,148385,0.002695697045056684
2000,Black,Some college,43,133539,0.0027716953830201623
2000,Black,Some college,44,139088,0.0032986215290260294
2000,Black,Some college,45,145123,0.0035343775656987027
2000,Black,Some college,46,148225,0.0039198669776103045
2000,Black,Some college,47,130361,0.003930348433036346
2000,Black,Some college,48,128078,0.004041833335250763
2000,Black,Some college,49,127032,0.004535109354457681
2000,Black,Some college,50,111779,0.004508740284833221
2000,Black,Some college,51,123183,0.005367802181002096
2000,Black,Some college,52,100880,0.005884639366748485
2000,Black,Some college,53,97733,0.006024660294004969
2000,Black,Some college,54,65142,0.006156644832963565
2000,Black,Some college,55,70078,0.006574396919082915
2000,Black,Some college,56,65977,0.0070971317202348765
2000,Black,Some college,57,63622,0.007780772769295086
2000,Black,Some college,58,63112,0.008025631456268188
2000,Black,Some college,59,53508,0.00955936604152109
2000,Black,Some college,60,40472,0.008843578410392522
2000,Black,Some college,61,38514,0.011204274481262544
2000,Black,Some college,62,41107,0.012021020352069029
2000,Black,Some college,63,29149,0.012435896900303844
2000,Black,Some college,64,36633,0.013071053501167357
2000,Black,Some college,65,29654,0.017071613869179908
2000,Black,Some college,66,26305,0.01816669912334365
2000,Black,Some college,67,22676,0.01874521995548255
2000,Black,Some college,68,20428,0.02266445114447475
2000,Black,Some college,69,25301,0.023428197784010847
2000,Black,Some college,70,22647,0.026638249334087538
2000,Black,Some college,71,18903,0.02906023385554899
2000,Black,Some college,72,27234,0.028957112418864246
2000,Black,Some college,73,8299,0.030844326011799338
2000,Black,Some college,74,14182,0.03298691294651284
2000,Black,Some college,75,15473,0.04021380559659849
2000,Black,Some college,76,11994,0.04212774619473121
2000,Black,Some college,77,7876,0.0407946952151077
2000,Black,Some college,78,11649,0.044355202176962136
2000,Black,Some college,79,8918,0.05275861925888113
2000,Black,Some college,80,11751,0.05444264198921879
2000,Black,Some college,81,5382,0.06252803836606585
2000,Black,Some college,82,6948,0.06139201829180541
2000,Black,Some college,83,5459,0.07710387832834474
2000,Black,Some college,84,1437,0.07944100006539552
2000,Black,B.A.+,30,76399,0.0006748453973257476
